昵称,性别,所在地,时间,内容,点赞数,转发数,评论数,主页
阿尔陆wxbxy,男,河南,"今天 06:11 来自
",":有汇款记录，【白日梦可增进身心健康激发创造潜能】一项最新研究表明；偶尔做做白日梦。这个人利用QQ网上兜售
     
      苹果手机
     
     和IPAD付款后却拉黑客人不发货不回复请转告更多人别受骗了：真人举报……一边深呼吸……我有聊天记录。有利于身心健康并激发创造潜能[nono跳舞] 贵港·覃塘镇 ​",0,0,0,https://weibo.cn/u/3966385753
Muma丶佬鸨,女,宁夏,"今天 05:49 来自
",":来老师给你贴膜……我爸爸只是教育局长……小明说：玩手机就可以不贴膜；小明上课玩
     
      苹果手机
     
     ：教育局长了不起啊；被老师发现。 延安·志丹聚宝假日酒店 ​",0,0,0,https://weibo.cn/u/3985817581
4阀2格份lQ悔凭54,男,江苏,今天 04:25 来自微,"
    
    兄弟，我是男的，不嫁给谁[费解]是不是在你眼里，不用
    
     苹果手机
    
    的人都是买不起
    
     苹果手机
    
    啊，用百元机的都是贫困户啊，2018年了，还要用手机来标榜财富吗？[微笑][微笑][费解][费解][吃瓜][吃瓜][摊手][摊手]
    
     ",0,0,0,https://weibo.cn/u/5030721530
木木挖小白菜,女,广东,今天 03:38 来自微,":【卡古驰】
     
      苹果手机
     
     6/7/8通用手机膜2片装  5.8 ​",0,0,1,https://weibo.cn/u/5888904567
欧尼GARhY,男,北京,"今天 03:02 来自
",":勿惹玉帝发脾气……爹是天娘是地。今天是妇女节。老婆大人是玉帝！可惊天可动地。如若不然！天下男士请注意……白天扫地晚上跪地：你们期待吗！
     
      苹果手机
     
     5快上市了…… ​",0,0,0,https://weibo.cn/u/5685893209
霹雳少年咚吧啦,男,河南,"今天 02:52 来自
","
    
    这种人的脑子是有尿吧？其他不说就他发的那个那张图说自己一天几万零花钱都是P的，都没见你用过
    
     苹果手机
    
    啊
    
     ",0,0,0,https://weibo.cn/yolochao
青春哥在重庆,男,重庆,"今天 02:42 来自
",":
     
      苹果手机
     
     相册可以做视频！！我才发现啊，太好用了！发个第一场比赛的小片。 青春哥在重庆的秒拍视频 ​",6,1,2,https://weibo.cn/chenjialidaxiong
清风竹流,男,江西,今天 02:37 来自微,"
    
    不是
    
     苹果手机
    
    包装壳？
    
     ",0,0,0,https://weibo.cn/u/2506293632
神棍敌人杰,男,海外,今天 01:58 来自i,"
    
    说白了，我想通过
    
     苹果手机
    
    4g卡组建ap网络。
    
     ",0,0,0,https://weibo.cn/234469216
神棍敌人杰,男,海外,今天 01:57 来自i,":这玩意有支持
     
      苹果手机
     
     或者苹果笔记本的吗？  手机开热点短线太快了，几乎不能停下来。 ​",0,1,6,https://weibo.cn/234469216
张小扣扣扣子又弹吉他又吃肉,女,浙江,今天 01:44 来自i,"
    
    是我是我[眼泪][眼泪]要不然我干嘛买
    
     苹果手机
    
    ？？？
    
     ",0,0,0,https://weibo.cn/u/1674862463
白瘦高脖长,男,贵州,"今天 01:35 来自
",":你们期待吗、
     
      苹果手机
     
     5快上市了 ​",0,1,0,https://weibo.cn/u/3982635355
李踉跄,女,广西,今天 01:27 来自前,":我爱用啥手机我喜欢就好 我高兴就好 你就笑吧 你就喷吧 就使劲的说oppo手机有多差吧 反正我觉得还行 我的要求不高 不像你 打肿脸充胖子 (我不就买了部新款的oppo，怎么了 有那么多看不顺眼的地方吗 吃你家大米了？ 喝你家水了？) 先不说什么模仿苹果， 现在手机都是这种流行趋势 都一个样
     
      苹果手机
     
     申请专利了吗 [斜眼] 就你这种人用苹果 苹果在你手上苹果瞬间都掉价了呢",0,0,1,https://weibo.cn/u/2931946435
LJLJanet,女,广东,"今天 01:25 来自
","
    

     苹果手机
    
    用qq浏览器 uc苹果不能自动刷新 查看图片 //
    
     @Jabbmy
    
    ：
    
     http://t.cn/Rn2ewlz
    
    无痕教程[加油]
    
     ",0,0,0,https://weibo.cn/shineejanet
李踉跄,女,广西,今天 01:12 来自前,":真不知道某些没读过书的猪又在那里开始看不起人 我他妈就用oppo怎么了 知道你用苹果了 可惜这么高大上的
     
      苹果手机
     
     在你手上并用不出什么花样来 只不过是上个网装个逼玩个王者荣耀罢了 有意思么 [斜眼] 你又不是什么大老板 又不是富二代 装什么逼 真是可笑 ​",0,0,0,https://weibo.cn/u/2931946435
呼吸4R5不能Z够,女,贵州,"今天 01:04 来自
",":乔布斯下去教了！回来要是小事。手机出问题就可以找你、付钱时候。清明到了。老板提醒；同事跟老板要了名片；烧
     
      苹果手机
     
     。跟祭品一块烧给老祖宗！ 银杏家园(银杏北路) ​",0,2,2,https://weibo.cn/u/3993840225
蒋航2017,男,重庆,今天 00:58 来自分,":【女警捡到iPhone8被当贼 气的秒丢垃圾桶 ​-北京时间】大家都知道
     
      苹果手机
     
     价格不菲，如果让你捡到一部iPhone8，你是自己使用还是归还给失主，发扬拾金不昧的精神，不过马来西亚一名华裔女警，捡到一台iPhone8，后打算归还失主，非但没有收到感谢，后来又被...
     
      http://t.cn/RnLQcbm
     
     ​",0,0,0,https://weibo.cn/jianghang2017
止水清曈,女,浙江,"今天 00:56 来自
",":我拍摄了杂志封面《引蝶花间》，化身为花间的蝴蝶展现了花的芬芳，不禁令人失神。 安卓手机下载链接：
     
      http://t.cn/RijAhQd
     

      苹果手机
     
     下载链接：
     
      http://t.cn/RW0Fq4O
     
     ​",0,0,0,https://weibo.cn/u/2242073542
八月313131,女,广东,"今天 00:26 来自
",":学钢琴太贵？？
     
     不是，而是没给学琴留地位！！！
     
     吃顿饭300，不贵！管4小时；
     
     做个头发800，不贵！管1个月；
     
     买件衣服上千，不贵！穿一两个季度；
     
     买个苹果手机6-7000，不贵！用1年。
     
     学钢琴，6xxx元哇……太贵了？！
     
     0基础
     
     30分钟弹会一首钢琴曲
     
     3个月弹会一系列钢琴曲
     
     它可用一辈子，它陪你优雅到老！！
     
     钢琴CF——让学琴变得简单
     
     了解关注公众号：钢琴CF
     
      http://t.cn/RTv4Kyo",0,0,0,https://weibo.cn/u/5455924824
Asdet艾诗塔-NI,女,广东,"今天 00:21 来自
",":未来2-3年~
     
     一定会有越来越多人关注到护肤面料
     

     这个市场空白得跟当年苹果手机一样
     
     原来嚷着一辈子只用诺基亚的人
     
     现在看看基本都换成了苹果
     
     如果说移动智能是当年的趋势
     
     那么艾诗塔就是当年的苹果 ​",0,0,0,https://weibo.cn/u/6320997854
M若晓X,女,安徽,今天 00:14 来自前,":看到有的人评论说我们过于依赖美国市场，其实不然，在经济全球化和贸易全球化发展迅速的今天，两国的贸易互通已经是非常必要的了，有些人认为中国可以限制
     
      苹果手机
     
     在中国的生产，以其人之道还治其人之身，但是这样的做法也同样损害了中国的利益。利益是合作的基础，中国虽然崇尚和平，维护和平，但是碰到有损我国利益的事，中国从来都不会忍气吞声，希望中国的反抗能够使美国三思，最终继续和平共处。",0,0,0,https://weibo.cn/u/5883874271
死机牛肉面,男,广东,今天 00:12 来自三,":现在的
     
      苹果手机
     
     和三星s9比，只能说是痴人说梦了。。。 ​",2,0,0,https://weibo.cn/u/2013582253
J-J华少,男,上海,"今天 00:00 来自
",":
     
      @腾讯公司
     
     我
     
      苹果手机
     
     被盗，手机里绑定很多理财通账户，苹果公司已经封锁我账户了，让我四天内注意邮箱，但是你们腾讯的邮箱被盗了，密码也被修改了，请问我怎么找回我的邮箱？你们的人工我打了23个小时的电话，语音一直重复说客服全忙，请问你们的生意是有多忙？请马上解决！
     

     各位新闻媒体们我要说的是如果这么大的公司都不能做到人工服务随时接听，不能解决客户的问题，请问他们的支付平台怎么能让百姓踏实？我同时打了招商银行和支付宝电话，都很好地被解决了，为什么就是腾讯23小时都在繁忙？请各位媒体帮忙扩散，好让腾讯引起重视并进行有效的处理，相信小偷已经通过邮箱破解了我的密码，相信我的财产安全也会受到影响，请各位帮忙联系相关部门让平民百姓有更好的保障，谢谢了！
     
      @头条新闻
     

      @新浪新闻
     

      @新民晚报新民网
     

      @新闻晨报
     

      @央视新闻
     

      http://t.cn/z8LtIYR",0,0,1,https://weibo.cn/u/1359449170
戚钥师伞,女,河北,03月16日 23:55,":
     
      @热门前三逍遥
     
     ，实时号  近日，这图在网上突然走红。不过虽然这图看起来很吓人，但是其实有很多不科学的地方。1、
     
      苹果手机
     
     里的数据来源于美国weather channel，但这个网站的源数据来源不明，且数据不准确，哈尔滨今冬最低是-34.6度，没有过-36度。2、北极点是北冰洋，但它并不是北半球最冷的地方。北半球最冷的地方是西伯利 ...展开全文c",0,0,0,https://weibo.cn/u/6008560365
时柒没有柒,女,江西,03月16日 23:54,"
    
    唉～虽然自己的
    
     苹果手机
    
    已经是老人机一般的存在了，但是造福一下我列表里的小可爱还是可以的！[爱你]
    
     赞[1]
    

     转发[0]
    

     评论[0]
    

     收藏
    


     03月16日 23:54 来自
     
      iPhone客户",1,0,0,https://weibo.cn/u/3713525392
音乐王子HLGC,男,广东,03月16日 23:50,"
    

     #苹果手机#
    
    希望尽快覆盖到全国才是
    
     @葛越_IsabelMahe
    

     赞[1]
    

     转发[0]
    

     评论[0]
    

     收藏
    


     03月16日 23:50 来自⑩年纪念版iPhone ",1,0,0,https://weibo.cn/hlgc10520188888
也戚戚,女,其他,03月16日 23:43,":点开iTunes U并探索了一会过后，我是第一次感觉
     
      苹果手机
     
     牛逼到不行[跪了] ​",0,0,0,https://weibo.cn/u/2262316394
J-J华少,男,上海,03月16日 23:41,":
     
      @腾讯公司
     
     我
     
      苹果手机
     
     被盗，手机里绑定很多理财通账户，苹果公司已经封锁我账户了，让我四天内注意邮箱，但是你们腾讯的邮箱被盗了，密码也被修改了，请问我怎么找回我的邮箱？你们的人工我打了23个小时的电话，语音一直重复说客服全忙，请问你们的生意是有多忙？请马上解决 上海·南方新村 ​",0,0,0,https://weibo.cn/u/1359449170
YuAmanda93,女,江西,03月16日 23:34,":
     
      苹果手机
     
     如何注册apple id ​",0,0,1,https://weibo.cn/u/2429254687
Sin·xxxxxxx,女,北京,03月16日 23:21,":我爸打电话告诉我说他今天手机掉了，但是被人捡到还给他了，他说他人品好。我告诉他那是因为他给
     
      苹果手机
     
     穿了个山寨手机的壳子，丑！要我看到捡都不想捡[笑cry][笑cry][笑cry] ​",0,0,0,https://weibo.cn/207835000
贤旭爱希天才,女,安徽,03月16日 23:04,":用
     
      苹果手机
     
     玩王者的辣么多，我竟然找不到一个师父或者徒弟做师徒任务[泪][泪][泪][跪了][跪了] ​",0,0,0,https://weibo.cn/u/2584047221
科技新一,男,北京,03月16日 23:03,":
     
      苹果手机
     
     的特点是你越用越感觉这个手机好用，三星旗舰的特点是你刚上手还感觉这手机挺新鲜，越用越不愿意用了[doge] ​",615,25,271,https://weibo.cn/webthinker123
零号计划,男,陕西,03月16日 23:02,":圈口52.3 条宽9.8 重28g 福利价6000[得]️ 图为
     
      苹果手机
     
     拍摄 零号计划的秒拍视频 ​",0,0,0,https://weibo.cn/qq974714360
贵州微生活,男,贵州,03月16日 23:01,":【你的iPhoneX，在高速公路上货车起火[吃惊]】3月15日，广西兴业县，G80广昆高速贵港段，一辆装满百货商品的大货车起火。事故现场
     
      苹果手机
     
     及配件撒落一地。via 一手video
     
     一手video的秒拍视频 ​",1,0,0,https://weibo.cn/u/3601611555
nili叽,女,海外,03月16日 22:53,":
     
      #NCT#
     
     不知道现在这种抽奖有没有过气[胡巴目瞪口呆]转发抽1人送自制手机壳（图可定制，风格如下）小要求：1.购买一张或以上计入销量的nct2018专辑 2.
     
      苹果手机
     
     使用者🙋🏻‍♀️ （转不到50就3[胡巴目瞪口呆] ​",10,14,9,https://weibo.cn/210072012
你是爷的女人只许为爷湿,男,上海,03月16日 22:51,":造孽太重了手机成这眼了
     
      #苹果手机#
     
     你是爷的女人只许为爷湿的秒拍视频 ​",1,0,1,https://weibo.cn/u/6125609577
智障患者张四四,女,吉林,03月16日 22:47,":我刚才给我妈说
     
      苹果手机
     
     贵有贵的原因，并现场演示了一下Face ID
     
     我自信满满地锁屏，点屏幕，上划
     
     死机了
     

     我妈：呵呵 ​",0,0,0,https://weibo.cn/u/5383064074
鹿迷吧,女,北京,03月16日 22:43,":
     
      #鹿晗愿望季#
     

      #鹿晗热血街舞团#
     

      @苹果手机可以的赚钱APP
     

     鹿晗热血街舞团 鹿晗舞蹈solo《热血街舞团》花絮【鹿晗跳舞表现令选手出乎意料】
     
     鹿晗：太紧张了，给我的感觉就是要出道的那种感觉，我觉得特别重视这个舞台因为跟我之前的舞台太不一样了，它就是跳舞~跟之前我参加的所有的都太不一样了。
     
      http://t.cn/Rnyxvlh",1,1,1,https://weibo.cn/u/3205074334
长园居士,男,广东,03月16日 22:38,":
     
      苹果手机
     
     业务在2018年中国市场会大幅下滑。会被国内品牌群殴。 ​",0,0,0,https://weibo.cn/u/3461180944
叶身潭,男,江西,03月16日 22:38,":
     
      #iphone密码被攻破#
     
     要是能恢复
     
      苹果手机
     
     删除了的数据就厉害了！ ​",0,0,0,https://weibo.cn/yeshentan
手机用户2310311783,女,福建,03月16日 22:37,":我剁手都要买的宝贝（
     
      苹果手机
     
     u盘32g高速电脑两用iphone内存扩容器金属定制刻字优盘），快来和我一起瓜分红包
     
      苹果手机
     
     u盘32g高速电脑两用iphone内存扩容器金属定制刻字优盘 ​",0,0,0,https://weibo.cn/u/2310311783
手机用户2310311783,女,福建,03月16日 22:36,":我剁手都要买的宝贝（BanQ
     
      苹果手机
     
     U盘64g iPhone7/6/5/iPad扩容器全金属定制两用优盘），快来和我一起瓜分红包 BanQ
     
      苹果手机
     
     U盘64g iPhone7/6/5/iPad扩容器全金属定制两用优盘 ​",0,0,0,https://weibo.cn/u/2310311783
-悠悠我心6,女,山东,03月16日 22:29,":分享给大家一个专业找回
     
      苹果手机
     
     的朋友程聪，有需要的可以加上他扣扣或者微信。我的手机就是通过他找回来的，希望能帮助更多需要帮助的人🤗🤗 德州 ​",1,0,0,https://weibo.cn/u/2937814477
anya笑笑,女,广东,03月16日 22:22,":
     
      #苹果手机配件#
     
     老夫的少女心，气垫流沙手机壳，保护iPhone义不容辞 ​",0,0,0,https://weibo.cn/u/6238693958
相声小品笑不停,男,江苏,03月16日 22:13,":郭德纲调侃
     
      苹果手机
     
     的特点，于谦竟深受其害 相声小品笑不停的秒拍视频 ​",1,0,0,https://weibo.cn/u/6179910910
津彩生活,男,天津,03月16日 22:11,"
    
    有多少安卓手机自带NFC功能？为了这个大伙都换手机么？
    
     苹果手机
    
    怎么办？有iOS版的么？
    
     ",0,1,0,https://weibo.cn/tianjin022nk
濮阳网,男,河南,03月16日 22:06,":【高速公路货车起火，撒了一地iPhoneX[吃惊]】3月15日，广昆高速贵港段一货车起火。据广西高速交警，该车载满百货，电子产品居多。现场各种型号的
     
      苹果手机
     
     撒了一地。事故未造成人员伤亡，目前火已扑灭，起火原因调查中。
     
      @微辣Video微辣Video的秒拍视频
     
     ​",0,0,0,https://weibo.cn/puyangwang
濮阳微头条,男,河南,03月16日 22:06,":【高速公路货车起火，撒了一地iPhoneX[吃惊]】3月15日，广昆高速贵港段一货车起火。据广西高速交警，该车载满百货，电子产品居多。现场各种型号的
     
      苹果手机
     
     撒了一地。事故未造成人员伤亡，目前火已扑灭，起火原因调查中。
     
      @微辣Video
     
     微辣Video的秒拍视频 ​",0,0,0,https://weibo.cn/u/5644848622
InCity_,男,北京,03月16日 21:57,":一年以前怎么也没想到自己可以用上
     
      苹果手机
     
     ，还能买得了单反，一年打车费上千元。去得了青海湖，翻得了海拔四千米的山脉，到过了敦煌，坐得上飞机。半年跑了大半个中国。虽谈不上时过境迁，生活却千变万化。回首再展望，跨得了山河，还会计较那些烦恼琐事？ ​",1,0,0,https://weibo.cn/u/3492630274
濮阳微头条,男,河南,03月16日 22:06,":【高速公路货车起火，撒了一地iPhoneX[吃惊]】3月15日，广昆高速贵港段一货车起火。据广西高速交警，该车载满百货，电子产品居多。现场各种型号的
     
      苹果手机
     
     撒了一地。事故未造成人员伤亡，目前火已扑灭，起火原因调查中。
     
      @微辣Video
     
     微辣Video的秒拍视频 ​",0,0,0,https://weibo.cn/u/5644848622
InCity_,男,北京,03月16日 21:57,":一年以前怎么也没想到自己可以用上
     
      苹果手机
     
     ，还能买得了单反，一年打车费上千元。去得了青海湖，翻得了海拔四千米的山脉，到过了敦煌，坐得上飞机。半年跑了大半个中国。虽谈不上时过境迁，生活却千变万化。回首再展望，跨得了山河，还会计较那些烦恼琐事？ ​",1,0,0,https://weibo.cn/u/3492630274
chenchen哒ma,女,广东,03月16日 21:56,":金条，
     
      苹果手机
     
     ，都与我没有缘分
     
     只有一个小米音响[泪][泪]
     
     我也自己买手机啦[睡][睡][睡] ​",0,0,0,https://weibo.cn/u/2545143761
清风过水波澜不惊,男,北京,03月16日 21:53,":微软的office365确实是一个强大的办公软件，HRD的解说也让人眼前一亮。CEO的C是Culture，解决了微软的开放性，CEO拿着
     
      苹果手机
     
     去参加苹果的发布会，这在历史上是绝无仅有的，此举加强了微软的开放文化。 ​",0,0,0,https://weibo.cn/u/1684434644
布朗潇,女,河北,03月16日 21:49,":这个烂
     
      苹果手机
     
     之前给我妈用，她实在受不了字儿小，又把我比较新的小米给换走了[笑cry] ​",0,0,0,https://weibo.cn/u/5800324245
侨忆_,女,北京,03月16日 21:43,":
     
      #手机#
     

      #苹果手机#
     

      #iPhoneX#
     
     一月份买的苹果X，朋友从香港带回。256G,99新，用的很精心，没有损坏，因为手机多，用不过来。留着很浪费。现在便宜出～还有没用的贴膜什么的都一起送～ 北京 ​",0,1,2,https://weibo.cn/u/1693027614
晃啦姐,女,辽宁,03月16日 21:40,":今天做了蒜泥烤茄子，
     
      苹果手机
     
     照相太难看了。 沈阳·三好街 ​",2,0,2,https://weibo.cn/u/2621631043
微锻炼的宝宝,女,其他,03月16日 21:29,"
    
    有点厉害了吧，
    
     苹果手机
    
    也能换屏。
    
     ",0,0,0,https://weibo.cn/u/1751891784
科技汪星人,男,北京,03月16日 21:27,":3D演示换肾过程，看着都疼，网友：给10台
     
      苹果手机
     
     也不换  科技汪星人的秒拍视频 ​",0,0,0,https://weibo.cn/u/6041830483
法兰西那些事er,男,海外,03月16日 21:22,"
    
    难道只有我一个人的关注点在手机上吗？感觉是
    
     苹果手机
    
    广告，从iPhone 5到iPhone X各个型号都有出境，Maé 拿的是iPhone 5c[允悲]
    
     #果粉的日常#
    
    //
    
     @JoannaBlue
    
    :你法歌坛真是暖心，正能量十足 [心] 以及帕叔人缘真是好~
    
     ",0,1,0,https://weibo.cn/1paris1
娱乐圈第一招聘,男,海外,03月16日 21:15,":
     
      苹果手机
     
     就是个坑！无限次提醒升级系统，好吧，升级后照相机无法开启！又重做系统，数据全没了！相机依旧无法开启，电池还特烫！记不住密码，一般都是自动登陆，现在挨个找回密码！什么破系统！相机无法开启，电池烫手，数据都没了[泪][泪][泪]
     
      #315质量#
     
     ​",0,0,0,https://weibo.cn/u/1934710677
四月桃花堤,女,北京,03月16日 21:14,":行了行了我知道了，
     
      苹果手机
     
     目前没发打赏。心痛到无法呼吸，那点钱棋子留着自己买糖吃吧 ​",0,0,5,https://weibo.cn/u/2430976802
萌嘟嘟的小胖咂,女,其他,03月16日 21:10,":谁知道
     
      苹果手机
     
     百度云下载的压缩包在哪找  我都找不到了 很心塞啊[打脸][打脸][打脸] ​",0,0,2,https://weibo.cn/u/3009061171
无与全比,男,北京,03月16日 21:02,"
    

     苹果手机
    
    太可怕了，都被美国给控制了
    
     ",0,0,0,https://weibo.cn/u/1763538193
脸黑黑滴二狗-,女,新疆,03月16日 21:00,"
    
    我不玩，我朋友玩但她
    
     苹果手机
    
    ID出问题了无法充值，和下载更新应用[允悲]
    
     ",0,0,0,https://weibo.cn/u/6301493319
Meiqichao,男,安徽,03月16日 20:56,":出售二手
     
      苹果手机
     
     ，有需要的联系我。 ​",0,0,0,https://weibo.cn/u/6244250185
大嘿胖子,男,河北,03月16日 20:50,:苹果[苹果]手机音效就是好，钱没有白花[允悲]。虽然我没舍得给自己买[悲伤][悲伤] ​,0,0,0,https://weibo.cn/u/2398078323
少男格,男,四川,03月16日 20:47,":垃圾
     
      苹果手机
     
     吃枣药丸
     
     玩游戏接电话卡死我了 ​",1,0,0,https://weibo.cn/u/1809125635
孙忠臣家的小仙女,女,其他,03月16日 20:33,"
    
    我也希望是我的，但是听说不是
    
     苹果手机
    
    不中奖我很伤心[紧张][紧张]
    
     ",0,0,0,https://weibo.cn/u/5867991842
宫心宇zutter,女,其他,03月16日 20:18,":走花路吧[樱花]
     
      苹果手机
     
     必须用酷币和q币买歌可我密码又找不回了 好不容易用安卓手机买了 又到微信收藏 然后又在
     
      苹果手机
     
     导入到酷狗音乐里 才把哥哥们的歌下载了 真的费劲 好久没表白 我并没有离开 我一直都在 下次花开的时候 再会。💕 ​",3,0,0,https://weibo.cn/u/2158261563
宫心宇zutter,女,其他,03月16日 20:18,":走花路吧[樱花]
     
      苹果手机
     
     必须用酷币和q币买歌可我密码又找不回了 好不容易用安卓手机买了 又到微信收藏 然后又在
     
      苹果手机
     
     导入到酷狗音乐里 才把哥哥们的歌下载了 真的费劲 好久没表白 我并没有离开 我一直都在 下次花开的时候 再会。💕 ​",3,0,0,https://weibo.cn/u/2158261563
猫小姐_Zoe,女,江苏,03月16日 20:10,":吃顿饭300，不贵[微笑]
     
     买件衣服800，不贵[微笑]
     
     买个
     
      苹果手机
     
     8000，不贵[微笑]
     
     买条项链18000，不贵[微笑]
     
     买个素万乳胶枕；哇 能不能便宜？[悲伤]
     
     记住了…你和你家人的健康才是最重要[爱心]️
     
     其他的一切都只是锦上添花而已[鼓掌] ​",0,0,0,https://weibo.cn/u/2004978114
幸运的呜呜呜呜,男,北京,03月16日 20:07,":【大货车起火烧掉了整整一车的
     
      苹果手机
     
     无人员伤亡 】
     
      http://t.cn/RnLgMZ9
     

      http://t.cn/RnLgMZ9
     
     ​",0,0,0,https://weibo.cn/u/1831372750
莪噯伱侽侽,男,四川,03月16日 19:58,":乔布斯已经下去教了。刚看到说清明烧
     
      苹果手机
     
     怕老祖先不会用的……我们失却的是一种心情》……祭祀店老板说！你们还瞎操心什么呀！《年华里 ​",0,0,0,https://weibo.cn/u/3965982912
右远左,女,江苏,03月16日 19:47,":每次用手机打日文的时候，就发现还是
     
      苹果手机
     
     方便。现在用的vivo中日切换太麻烦了。 ​",0,0,0,https://weibo.cn/jsyzshanna
曲奇小陳,女,其他,03月16日 19:44,":用
     
      苹果手机
     
     的小可爱们你们最近的app store 能下载软件嘛 我最近什么软件都下不了 到底咋回事有人知道嘛[泪][泪][泪][泪] ​",2,0,8,https://weibo.cn/u/2977834825
白衣咸饭,男,上海,03月16日 19:39,"
    
    回复
    
     @遇安南方
    
    :可能是适用
    
     苹果手机
    
    的关系。你重新启动系统看看。或者
    
     @VPlus会员
    

     @微博小秘书
    
    ，他们负责技术方面的问题//
    
     @遇安南方
    
    :医生，充了V什么也没有啊
    
     赞[1]
    

     转发[1]
    

     评论[1]
    

     收藏
    


     03月16日 19:39 来自微博 weibo.co",1,1,1,https://weibo.cn/u/1744093477
一眼沦陷的甜,女,湖南,03月16日 19:33,"
    
    还有不是
    
     苹果手机
    
    的呢[二哈]
    
     ",0,0,0,https://weibo.cn/u/5523861028
蔬菜省钱菌,女,上海,03月16日 19:30,":5.8  【卡古驰】
     
      苹果手机
     
     6/7/8通用手机莫2片装，这个牌子的反馈挺不错的 ​",98,7,30,https://weibo.cn/u/6008425650
ZOL中关村在线,女,北京,03月16日 19:00,":【iPhone被完全破解！
     
      苹果手机
     
     还安全吗】最近外媒曝光了一个iPhone的解锁工具“GrayKey”，用这个盒子破解iPhone非常简单，只需要50美元。以往FBI破解iPhone手机需要向一家以色列安全公司支付上百万美元，有了这个盒子节约了大量的成本。破解的时间和密码复杂程度相关，最多几天就能搞定，快的几个小时就OK了。
     
      http://t.cn/RnLa31E",9,2,6,https://weibo.cn/cbsizol
zzt张彤,女,天津,03月16日 18:55,":第一次挑战用
     
      苹果手机
     
     前置摄像头人像模式自拍 唐山·华北理工大学曹妃甸大学城 ​",8,0,2,https://weibo.cn/u/5364209912
荻阿姊clothoZzz,男,西藏,03月16日 18:42,":用
     
      苹果手机
     
     的注意了，如果你要买视频网站的VIP会员，通过电脑去买，要便宜一些 ​​​​",0,0,0,https://weibo.cn/u/6265971857
8频道新闻新加坡,女,海外,03月16日 18:38,":【中国大货车行驶中自燃 事故现场散落一地
     
      苹果手机
     
     】中国一辆大货车行驶途中突然失火，所载物品散落一地，遍地都是各种型号
     
      苹果手机
     
     的事故现场画面，在中国社交媒体疯传。事故造成的损失约为100万新元。
     
      http://t.cn/RnLQCeU
     
     ​",3,0,1,https://weibo.cn/ch8news
紫气东来yuei,女,香港,03月16日 18:32,"
    
    好运，刚好
    
     苹果手机
    
    坏了 [允悲][允悲][允悲][允悲][泪][泪][泪][泪][泪][泪]
    
     ",0,0,0,https://weibo.cn/u/2801829232
星空王子2,女,香港,03月16日 18:28,"
    
    大家好，我是骗子，我想要
    
     苹果手机
    
    ，愿意上当受骗的请发8000块钱，给你自己买个教训，不要问为什么别人骗几块钱我骗8000，因为我超级膨胀。
    
     ",0,0,0,https://weibo.cn/u/2931956202
臭屁多难听呀,女,陕西,03月16日 18:27,":坐标太白南路，滴滴拼车两傻b，不断吹自己的
     
      苹果手机
     
     ，用个苹果你牛逼呀！该不是个二傻子吧，千把块钱用的着这么骄傲不？ ​",0,0,3,https://weibo.cn/u/2938694267
学股网,男,陕西,03月16日 18:27,":
     
      #今日大盘#
     
     【iPhone被破解，解锁神器诞生，你的手机还安全吗？】全球的
     
      苹果手机
     
     用户可能将面临新的安全隐私问题了。近日，美国一家政府服务供应商声称自己找到了一种可以几乎解锁所有iPhone的方法，其外形看起来很简单，就是一个普通的黑盒子，可以同时解锁两个iPhone。果粉们，你们手中的
     
      苹果手机
     
     还安全吗？
     
      @优酷
     

      @优酷财经
     

      http://t.cn/RnLHL9A",0,0,0,https://weibo.cn/u/5882251062
傅愈稀,女,福建,03月16日 18:23,":怎么感觉
     
      苹果手机
     
     前置摄像头把人照的脏兮兮的[允悲][允悲]，其实我不化妆说我是读高中有人信吗[思考][思考][思考]，反正我不信[允悲] ​​​",19,0,10,https://weibo.cn/u/1618337431
139易,男,北京,03月16日 18:03,":【王雪红给员工打气：A9新机足以取代iPhone】10月20日讯，据报道，在新手机发布之前，王雪红发送内部邮件，貌似给员工打气，她表示，新发布的A9手机，有足够的实力取代
     
      苹果手机
     
     或是与iPhone一决高下。 ​",0,0,0,https://weibo.cn/139yes
小小尤枫,男,河南,03月16日 18:02,":『在
     
      苹果手机
     
     上体验 AR 带来的惊艳效果 - 少数派』
     
      http://t.cn/Rot2xu3
     
     ​",2,0,0,https://weibo.cn/u/5522986914
淑恩麻麻与熙晨宝宝的微博,女,广东,03月16日 17:52,":我第一次知道
     
      苹果手机
     
     是自带广角的，只要把脚放在镜头左下角的位置就可以拍出2米大长腿。——很喜欢美女同事拍的照片，pose和角度都是她们教我的…… ​",7,0,6,https://weibo.cn/leishuen
平度江键,男,山东,03月16日 17:43,":【震惊】
     
      苹果手机
     
     越修越坏 济南市民投诉百邦
     
      http://t.cn/RnLOXdm
     
     ​",0,0,0,https://weibo.cn/u/1786613921
黄石中公教育,男,湖北,03月16日 17:35,":发表了博文《滥用‘七天无理由退货’》热点背景：“明明承诺了，结果还是拒绝了我的‘换新’要求。”90后小伙施先生在天猫的一家品牌家电商城购买了一台
     
      苹果手机
     
     ，因为个人喜好的原因向商家提出换新要求。然而，商滥用‘七天无理由退货’ ​",0,0,0,https://weibo.cn/u/3221797975
